"j.old","j"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Variabilita chemických činidel (a analogické problémy v jiných oborech)","fakt_variab"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Špatný experimentální design","fakt_design"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Nešťastná shoda okolností","fakt_smula"
"17. Vidím ještě nějaké falší faktory přispívající k nereprodukovatelnosti výzkumu? Jaké? (Vypište prosím)","fakt_dalsi"
"18. Pokoušel jsem se někdy NEÚSPĚŠNĚ zopakovat svůj experiment?","nerep_jaMuj"
"19. Pokoušel jsem se někdy neúspěšně zopakovat experiment někoho jiného?","nerep_jaCizi"
"20. Stalo se mi někdy, že někdo nemohl reprodukovat nejméně jeden výsledek mých vlastních experimentů?","nerep_oniMuj"
"Máte k části ""Reprodukovatelnost"" nějaké poznámky či připomínky? Můžete nám je napsat zde:","rep_komentar"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Pohled z vnějšku","objekt_vnejsi.pohled"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Přesnost","objekt_presnost"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Matematická konzistence","objekt_matematicka.konzistence"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Testovatelnost","objekt_testovatelnost"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Nestrannost","objekt_nestrannost"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Přiblížení k pravdě","objekt_priblizeni.pravde"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Shoda s realitou","objekt_shoda.s.realitou"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Kvantifikace","objekt_kvantifikace"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Intersubjektivita (možnost sdílet vědecké výsledky s ostatními)","objekt_intersubjektivita"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Kritické myšlení","objekt_kriticke.mysleni"
"21. Jak chápu objektivitu? Co mi NEJVÍCE asociuje pojem vědecká objektivita? - Reprodukovatelnost","objekt_reprodukovatelnost"
"22. Bavím se někdy s dalšími vědci explicitně o pojmu „objektivita“?","objekt_diskut"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Neodůvodněné zobecňování výsledků, kdy jsou data interpretována v příliš širokém kontextu (nedostatečně velký vzorek nebo nereprezentativní vzorek)","frek_nerepre"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - P-hacking a podobné strategie (data-dredging, significance-chasing, harking)","frek_hacking"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Publikování jen pozitivních nebo statisticky průkazných výsledků","frek_positiv"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Vkládání „populárních“ termínů (např. do textů článků) jen za účelem lepší publikovatelnosti","frek_popular"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Použití “módních” metod ve výzkumu bez vědeckého opodstatnění (např. v žádostech o granty)","frek_modmet"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Záměrné nadsazování dosažených vědeckých výsledků („overselling“)","frek_oversell"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Zveřejňování zbytečných studií, jejichž vědecký přínos je sporný","frek_zbytecne"
"23. Jak často se ve svém oboru setkávám s následujícími jevy? - Používání „salámové metody“, kdy jsou výsledky publikovány ve vícero článcích (případně i duplicitně)","frek_salam"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Neodůvodněné zobecňování výsledků, kdy jsou data interpretována v příliš širokém kontextu (nedostatečně velký vzorek nebo nereprezentativní vzorek)","neobj_nerepre"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - P-hacking a podobné strategie (data-dredging, significance-chasing, harking)","neobj_hacking"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Publikování jen pozitivních nebo statisticky průkazných výsledků","neobj_positiv"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Vkládání „populárních“ termínů (např. do textů článků) jen za účelem lepší publikovatelnosti","neobj_popular"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Použití „módních” metod ve výzkumu bez vědeckého opodstatnění (např. v žádostech o granty)","neobj_modmet"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Záměrné nadsazování dosažených vědeckých výsledků („overselling“)","neobj_oversell"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Zveřejňování zbytečných studií, jejichž vědecký přínos je sporný","neobj_zbytecne"
"24. Myslím si, že následující jevy narušují objektivitu vědy? - Používání „salámové metody“, kdy jsou výsledky publikovány ve vícero článcích (případně i duplicitně)","neobj_salam"
"25. Má podle mého názoru způsob financování výzkumu vliv na objektivitu výzkumu?","financ_vliv"
"26. Jaký způsob financování v mém oboru zaručuje podle mě největší vědeckou objektivitu?","financ_zajisti.objektivitu"
"27. Existuje v mém oboru větší nedůvěra vůči kvalitě vědeckých výsledků (např. jejich reprodukovatelnosti)?","financ_neduvera"
"28. Jaké financování v mém oboru zaručuje podle mého názoru největší nezávislost výzkumu?","financ_zajisti.nezavislost"
"29. Má časově omezené financování vliv na zaměření výzkumu?","financ_casvliv"
"29. Má časově omezené financování vliv na zaměření výzkumu? - vlastní odpověď","financ_casvlast"
"30. Jaký podíl času z mé práce mi zabere administrativa (vůči výzkumné činnosti)? (Uveďte prosím svůj odhad) - Podíl administrativy","pomer_administr"
"31. Jsou podle mého názoru v současné české vědě zvýhodňovány určité skupiny na úkor jiných? - Muži vs. Ženy","diskrim_muzi"
"31. Jsou podle mého názoru v současné české vědě zvýhodňovány určité skupiny na úkor jiných? - Starší vědci/vědkyně vs. Mladší vědci/vědkyně","diskrim_starsi"
"31. Jsou podle mého názoru v současné české vědě zvýhodňovány určité skupiny na úkor jiných? - Úspěšní/é vědci/vědkyně vs. Průměrní/é nebo podprůměrní/é vědci/vědkyně","diskrim_uspesni"
"31. Jsou podle mého názoru v současné české vědě zvýhodňovány určité skupiny na úkor jiných? - Vědecké autority vs. Začínající vědci/vědkyně","diskrim_autority"
"31. Jsou podle mého názoru v současné české vědě zvýhodňovány určité skupiny na úkor jiných? - Vědci/vědkyně provádějící výzkum v už zavedených výzkumných programech s menším rizikem neúspěchu vs. Vědci/vědkyně pokoušející se o vysoce inovativní výzkum s vyšším rizikem neúspěchu","diskrim_zavedene"
"Máte k části ""Objektivita (publikování, prezentace a financování vědy)"" nějaké poznámky či připomínky? Můžete nám je napsat zde:","objekt_komentar"
"32. Rozhoduji o jmenování vědce do funkce děkana. Kandidát byl odhlasován akademickým senátem, ovšem část vědců proti tomu protestuje, protože v minulosti publikoval většinu svých článků v predátorských časopisech. Publikování v predátorských časopisech ukončil poté, co to akademická obec označila za problém. JMENUJI KANDIDÁTA DO FUNKCE DĚKANA?","dilema_predator"
"33. Do svého výzkumného týmu hledám uchazeče s určitou kvalifikací a o místo se uchází vědec, jehož vědecký profil mi vyhovuje. Tento uchazeč ale v minulosti pracoval v jedné laboratoři s kolegou, který byl usvědčen z manipulace se vzorky v laboratoři. Později se také ukázalo, že tento uchazeč byl jedním z adresátů dopisu, v němž zahraniční instituce upozorňovala na to, že se pokusy jeho kolegy nepodařilo reprodukovat. Uchazeč však o tomto dopisu své nadřízené neinformoval. On sám ale nikdy neupadl v žádné podezření a jeho vědecké výsledky nebyly nikdy zpochybněny. POVAŽUJI TO, ŽE NEINFORMOVAL O DANÉM DOPISU, ZA DOSTATEČNÝ DŮVOD, ABYCH HO NEPŘIJAL?","dilema_neinformoval"
"34. Vědec v prestižní evropské instituci na semináři pořádaném touto institucí prohlásil, že „jeho obor byl vybudován muži“ a že „ženy měly do tohoto oboru přístup, jakmile prokázaly své schopnosti“. Jsem v komisi, která hlasuje o jeho dočasné suspendaci. BUDU HLASOVAT PRO POZASTAVENÍ JEHO ČINNOSTI V INSTITUCI?","dilema_misogyn"
"35. V USA je v současnosti vedeno několik sporů, v nichž se Američané asijského původu domáhají rovnosti v přijímacím řízení na prestižní univerzity. Ti obviňují univerzity z toho, že je univerzity na základě svých vlastních pravidel diskriminují tím, že proti nim uplatňují skryté kvóty. Američané asijského původu jsou tak znevýhodněni ve prospěch jiných skupin a je jich obecně přijímáno méně, než by odpovídalo jejich studijním výsledkům a testům schopností. MAJÍ PODLE MÉHO NÁZORU UNIVERZITY PRÁVO SAMY SI NASTAVIT KRITÉRIA PŘIJETÍ UCHAZEČŮ, PŘESTOŽE PŘITOM ZNEVÝHODŇUJÍ JEDNU SKUPINU UCHAZEČŮ KVŮLI JEJICH ETNICKÉMU PŮVODU?","dilema_kvoty"
"36. Jako ředitel fakultní nemocnice rozhoduji o tom, zda v ní umožním výzkum účinnosti metod tradiční čínské medicíny a indické ájurvédy. Výzkum by probíhal standardními vědeckými postupy západní medicíny. Přesto tento návrh vyvolal vlnu nevole mezi některými kolegy lékaři i ze strany stavovské lékařské organizace. POVOLÍM TENTO VÝZKUM?","dilema_cinska.medicina"
"37. Jsem členem Komise pro bioetiku Rady Evropy, která rozhoduje o zmírnění zákazu genetických úprav životaschopných lidských embryí pomocí metody Crispr-Cas9 (z lékařských důvodů), z nichž se poté narodí živý jedinec. BUDU HLASOVAT PRO ZMÍRNĚNÍ ZÁKAZU?","dilema_embryo"
"Máte k části ""Dilemata"" nějaké poznámky či připomínky? Můžete nám je napsat zde:","dilema_komentar"
"38. Jsem:","gender"
"39. Můj věk je:","vek"
"40. Kolik let pracuji ve výzkumu? (Od prvního zaměstnání ve vědecké instituci s odečtením přerušení)","kar_praxe"
"41. Jaká je moje nejvyšší dosažená akademická hodnost (nebo ekvivalent)?","kar_titul"
"42. Počet citací? (Odhad)","kar_citace"
"43. Publikoval jsem (i jako spoluautor) v nejlepším oborovém časopisu, případně v časopisech typu Nature, Science, Cell?","kar_nejlepsi"
"44. Do jaké kategorie dle klasifikace akademie věd patřím?","kar_kategorie"
"Máte k části ""Moje vědecká kariéra"" nějaké poznámky či připomínky? Můžete nám je napsat zde:","kar_komentar"
"45. Jaký je podíl vědecké činnosti na mojí celkové pracovní činnosti? (Uveďte svůj odhad) - Podíl vědecké činnosti","pomer_veda"
"46. Jaký je v mé práci podíl základního výzkumu (vůči aplikovanému)? (Uveďte svůj odhad) - Podíl základního výzkumu","pomer_zakladni"
"47. Pracuji v oboru: - Který je vysoce dotovaný","obor_dotovany"
"47. Pracuji v oboru: - Kde je velká konkurence vědců a pracovišť","obor_konkuren"
"47. Pracuji v oboru: - Kde je mimořádný tlak na výsledky","obor_tlak"
"47. Pracuji v oboru: - Kde rychle zastarávají poznatky","obor_rychly"
"47. Pracuji v oboru: - Kde je prudký příliv vědců","obor_priliv"
"47. Pracuji v oboru: - Kde rychle roste počet publikací","obor_publikac"
"47. Pracuji v oboru: - Jehož výsledky jsou často prezentovány v médiích","obor_medializ"
"47. Pracuji v oboru: - Na který má velký vliv veřejné mínění vliv (např. na financování)","obor_verejnos"
"47. Pracuji v oboru: - Který zkoumá vysoce komplexní jevy","obor_komplexn"
"48. Pracuji v oboru (specializaci), který je „menší“, tzn. cca do 1000 vědců celosvětově (tedy těch, kteří řeší podobné výzkumné otázky jako já)?","obor_mensi"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Práce s matematickými strukturami","cinnost_matem"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Vytváření modelů a simulací přírodních jevů","cinnost_model"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Rozvíjení teorií a hlubšího pochopení přírodních jevů","cinnost_teori"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Návrh a provádění experimentů","cinnost_exper"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Popis a kategorizace přírodních jevů","cinnost_kateg"
"49. Moje nejčastější činnost je (další činnosti případně uveďte na 2. a 3. místě): - Vývoj metod, technologií a přístrojů","cinnost_vyvoj"
"50. V rámci přírodních věd, považuji svůj obor za:","obor_ekzaktnost"
"Máte k části ""Můj obor"" nějaké poznámky či připomínky? Můžete nám je napsat zde:","obor_komentar"
"51. Jaká je moje hlavní specializace (oblast výzkumu)? (Anglicky)","spec_hlavni"
"52. Upřesněte prosím svou specializaci:...144","spec_astr"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...145","spec_astrvl"
"52. Upřesněte prosím svou specializaci:...146","spec_bio"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...147","spec_biovl"
"52. Upřesněte prosím svou specializaci:...148","spec_chem"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...149","spec_chemvl"
"52. Upřesněte prosím svou specializaci:...150","spec_ekol"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...151","spec_ekolvl"
"52. Upřesněte prosím svou specializaci:...152","spec_inze"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...153","spec_inzevl"
"52. Upřesněte prosím svou specializaci:...154","spec_matr"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...155","spec_matrvl"
"52. Upřesněte prosím svou specializaci:...156","spec_medi"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...157","spec_medivl"
"52. Upřesněte prosím svou specializaci:...158","spec_fyzi"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...159","spec_fyzivl"
"52. Upřesněte prosím svou specializaci:...160","spec_matm"
"52. Upřesněte prosím svou specializaci: - vlastní odpověď...161","spec_metmvl"
"52. Upřesněte prosím svou specializaci:...162","spec_vlastni"
"inst","instituce"
